ACCOUNT_STATUS,SERVICE__PLAN,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,STATE,FEEDBACK,SATELLITE,SITE_TYPE_DESC,MOST_RECENT_SALES_CHANNEL,GENDER,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,Y,,,,,,
Active,Elite,Call Center,Indirect,AmericanSat, OR,GOOD,SPACEWAY3,Broadband Remote,Direct,Male,30,9,0,0,N,0,,,,,,
Active,Home,Uknown,Indirect,RS&I, TN,GOOD,AM6-HOR-21K,Broadband Remote,DW6000 Upgrade,Female,23,6,1,0,N,0,,,,,,
Active,Basic_Ltd,Uknown,Indirect,TAG, AR,BAD,SM5-VER-15K,Broadband Remote,Retail,Male,37,0,1,0,N,0,,,,,,
Active,Elite,Call Center,Direct,NCC, CA,GOOD,SPACEWAY3,Broadband Remote,Dealer-Generated Sale,Male,52,8,1,1,Unknown,0,,,,,,
Active,Power150,Sales Agents,Direct,RS&I, OK,GOOD,AM6-HOR-21K,Spaceway,DW6000 Upgrade,Male,65,5,0,0,Y,0,,,,,,
Active,Pro,Sales Agents,Indirect,NCC, MN,GOOD,Unkown,Spaceway,Direct,Male,58,5,0,0,N,0,,,,,,
Active,Pro,Uknown,Indirect,AmericanSat, VA,GOOD,SPACEWAY3,Spaceway,DPC Classic upgrade,Male,76,3,1,0,N,0,,,,,,
Active,Unknown,Vars,Indirect,AmericanSat, TX,Unkown,HZN2-VER-4K,Broadband Remote,HN7000 Upgrade,Female,26,6,1,0,N,0,,,,,,
Active,Basic_Ltd,Vars,Indirect,TAG, WV,Unkown,SM5-VER-1K,Broadband Remote,Dealer-Generated Sale,Male,22,3,0,0,N,0,,,,,,
Active,Home,Call Center,Indirect,AmericanSat, AL,GOOD,G17-HOR-6K,Spaceway,Retail       ,Female,39,6,1,1,N,0,,,,,,
Active,Pro,Retail/others,Indirect,NCC, CO,Unkown,G17-HOR-6K,Broadband Remote,Dealer-Generated Sale,Male,26,9,1,1,N,0,,,,,,
Active,Proplus,Uknown,Indirect,Hughes Web Order, KY,BAD,SM5-VER-7K,Broadband Remote,Classic Migration,Male,56,7,0,0,Y,0,,,,,,
